id,outlet_name,restaurant_name
5c98ce8d6197d625d0efbbb5,Food Inn,Food Inn
5c98ce8d6197d625d0efbcc0,Urban Kitchen,Urban Kitchen
5c98ce8d6197d625d0efbcfe,Universal Restaurant & Bakery Store,Universal Restaurant & Bakery Store
5c98ce8d6197d625d0efbd1d,Hello Curry,Hello Curry
5c98ce8d6197d625d0efbd9e,Silver Salt,Silver Salt
5c98ce8d6197d625d0efbe60,Healthy Restaurant,Healthy Restaurant
5c98ce8e6197d625d0efbf20,Healthy Restaurant,Healthy Restaurant
5c98ce8e6197d625d0efbfe6,Nawab's Dine,Nawab's Dine
5c98ce8e6197d625d0efc010,Hotel Nayaab,Hotel Nayaab
5c98ce8e6197d625d0efc093,Vintage Kitchen,Vintage Kitchen
5c98ce8e6197d625d0efc13f,Cafe Bahar Multicuisine Family Restaurant,Cafe Bahar Multicuisine Family Restaurant
5c98ce8e6197d625d0efc15d,Eclaire,Eclaire
5c98ce8e6197d625d0efc171,Rudra Restaurant,Rudra Restaurant
5c98ce8e6197d625d0efc1d6,TGrill,TGrill
5c98ce8e6197d625d0efc202,The Spicy Pot,The Spicy Pot
5c98ce8e6197d625d0efc2e5,Sri Sampoorna Grand,Sri Sampoorna Grand
5c98ce8e6197d625d0efc2eb,Swaad Restaurant,Swaad Restaurant
5c98ce8e6197d625d0efc31d,Up-The Rooftop Lounge,Up-The Rooftop Lounge
5c98ce8e6197d625d0efc416,Kolkata Food Plaza,Kolkata Food Plaza
5c98ce8f6197d625d0efc439,"N Grills - Shawarma, Kebabs & Barbeque","N Grills - Shawarma, Kebabs & Barbeque"
5c98ce8f6197d625d0efc48e,Lip 'N' Licks Food Court,Lip 'N' Licks Food Court
5c98ce8f6197d625d0efc490,Lakshmi Tiffin Centre,Lakshmi Tiffin Centre
5c98ce8f6197d625d0efc492,Lakshmi Tiffin Centre,Lakshmi Tiffin Centre
5c98ce8f6197d625d0efc5be,Hotel Brundavan Pride,Hotel Brundavan Pride
5c98ce8f6197d625d0efc617,Genuine Broaster Chicken,Genuine Broaster Chicken
5c98ce8f6197d625d0efc648,Mega Tasty N Spicy,Mega Tasty N Spicy
5c98ce8f6197d625d0efc699,The Wingster,The Wingster
